Verification log – 2026-08-09 20:26:29 UTC
Execution time: 36.4s
Total proxies tested: 253
Working proxies found: 190
------------------------------------------------------------
Timestamp                   Host:Port                      Status Ping     Region
2026-08-09T20:26:26.554938  webhook.vingardium.co.uk:443   OK     0.274s   eu
2026-08-09T20:26:26.557316  ftp.asiaadomainsshatelhamrahaval.co.uk.:443 FAIL   -        eu
2026-08-09T20:26:26.561885  ma.hastim.co.uk:443            OK     0.299s   eu
2026-08-09T20:26:26.562187  noron.talebi.co.uk:2096        OK     0.301s   eu
2026-08-09T20:26:26.562440  bastani.mikham.co.uk:8443      OK     0.288s   eu
2026-08-09T20:26:26.562613  chai.mikham.co.uk:8443         OK     0.284s   eu
2026-08-09T20:26:26.564385  mashtibash.vafadari.co.uk:2096 OK     0.291s   eu
2026-08-09T20:26:26.565742  flux.lavazemi5.co.uk:2096      OK     0.299s   eu
2026-08-09T20:26:26.566692  gold.lavazemi4.co.uk:2096      OK     0.3s     eu
2026-08-09T20:26:26.566927  hadaf.golgoli2.co.uk:2053      OK     0.292s   eu
2026-08-09T20:26:26.567230  ftp.jinxandjack.co.uk:443      OK     0.299s   eu
2026-08-09T20:26:26.567489  new.vafadari.co.uk:2096        OK     0.285s   eu
2026-08-09T20:26:26.569671  sub.iran-tehran.co.uk:443      OK     0.289s   eu
2026-08-09T20:26:26.569931  sub.iran-tehran.co.uk.:443     OK     0.157s   eu
2026-08-09T20:26:26.570351  hide.he6fhd.ru:8443            OK     0.196s   eu
2026-08-09T20:26:26.570598  webhook.what-ever.co.uk.:443   OK     0.295s   eu
2026-08-09T20:26:26.570609  webhook.what-ever.co.uk:443    OK     0.291s   eu
2026-08-09T20:26:26.575215  Suodbo.co.uk.:443              OK     0.311s   eu
2026-08-09T20:26:26.575783  65.108.123.76:443              OK     0.12s    eu
2026-08-09T20:26:26.576652  look.foltmeingop.co.uk:8880    OK     0.289s   eu
2026-08-09T20:26:26.577538  www.darniod.ooo:80             OK     0.192s   eu
2026-08-09T20:26:26.577780  bala.hastim.co.uk:443          OK     0.296s   eu
2026-08-09T20:26:26.579757  delbaz.wrenshire.co.uk:9870    OK     0.308s   eu
2026-08-09T20:26:26.581230  195.254.165.252:25565          FAIL   -        eu
2026-08-09T20:26:26.581358  beest-sellerst.co.uk.:443      OK     0.128s   eu
